concept,label,2022-12-31,level,abstract,dimension
us-gaap_IncreaseDecreaseInStockholdersEquityRollForward,Increase (Decrease) in Stockholders' Equity [Roll Forward],,3,False,False
us-gaap_SharesIssued,Ending Balance (in shares),,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,4,False,False
us-gaap_StockIssuedDuringPeriodSharesNewIssues,Common and capital stock issued (in shares),137000000.0,4,False,False
us-gaap_StockIssuedDuringPeriodValueNewIssues,Stock issued (in shares),8000000.0,4,False,False
us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,Stock-based compensation expense,19525000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,Repurchases of stock (in shares),530000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,Repurchases of stock,59296000000.0,4,False,False
us-gaap_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,Sale of interest in consolidated entities,35000000.0,4,False,False
us-gaap_NetIncomeLoss,Net Income,59972000000.0,4,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,Other comprehensive income (loss),-5980000000.0,4,False,False
us-gaap_SharesIssued,Ending Balance (in shares),,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,4,False,False
