concept,label,2023-12-31,2022-12-31,2021-12-31,level,abstract,dimension
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,574785000000.0,513983000000.0,469822000000.0,3,False,False
us-gaap_CostsAndExpensesAbstract,Operating Expenses,,,,3,False,False
us-gaap_CostOfGoodsAndServicesSold,Cost of Revenue,304739000000.0,288831000000.0,272344000000.0,4,False,False
us-gaap_MarketingExpense,Sales and marketing,44370000000.0,42238000000.0,32551000000.0,4,False,False
us-gaap_GeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",11816000000.0,11891000000.0,8823000000.0,4,False,False
us-gaap_OtherOperatingIncomeExpenseNet,"Other operating expense (income), net",767000000.0,1263000000.0,62000000.0,4,False,False
us-gaap_CostsAndExpenses,Cost of Revenue,-537933000000.0,-501735000000.0,-444943000000.0,4,False,False
us-gaap_OperatingIncomeLoss,Operating Income,36852000000.0,12248000000.0,24879000000.0,3,False,False
us-gaap_InvestmentIncomeInterest,Interest income,2949000000.0,989000000.0,448000000.0,3,False,False
us-gaap_InterestExpense,Interest Expense,-3182000000.0,-2367000000.0,-1809000000.0,3,False,False
us-gaap_OtherNonoperatingIncomeExpense,"Other income (expense), net",938000000.0,-16806000000.0,14633000000.0,3,False,False
us-gaap_NonoperatingIncomeExpense,Nonoperating Income/Expense,705000000.0,-18184000000.0,13272000000.0,3,False,False
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,Income (loss) before income taxes,37557000000.0,-5936000000.0,38151000000.0,3,False,False
us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,-7120000000.0,3217000000.0,-4791000000.0,3,False,False
us-gaap_IncomeLossFromEquityMethodInvestments,"Equity-method investment activity, net of tax",-12000000.0,-3000000.0,4000000.0,3,False,False
us-gaap_NetIncomeLoss,Net Income,30425000000.0,-2722000000.0,33364000000.0,3,False,False
us-gaap_EarningsPerShareBasic,Earnings Per Share,2.95,-0.27,3.3,3,False,False
us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),2.9,-0.27,3.24,3,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Weighted-average shares used in computation of earnings per share:,,,,3,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding,10304000000.0,10189000000.0,10117000000.0,4,False,False
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),10492000000.0,10189000000.0,10296000000.0,4,False,False
