concept,label,2021-12-31,2020-12-31,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,39370000000.0,29146000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"Change in foreign currency translation adjustment, net of tax",-1116000000.0,1056000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,37750000000.0,30562000000.0,1,False,False
