concept,label,2022-12-31,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,23200000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"Change in foreign currency translation adjustment, net of tax",-1184000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,20363000000.0,1,False,False
