concept,label,2023-01-29,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,4368000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,"Other comprehensive income (loss), net of tax",,1,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTaxAbstract,Available-for-sale debt securities:,,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Net unrealized gain (loss),-31000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,Net Income,1000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,Net change in unrealized loss,-30000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxPortionAttributableToParentAbstract,Cash flow hedges:,,1,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,Net unrealized gain (loss),47000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,Net Income,-49000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,Net change in unrealized gain (loss),-2000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,"Other comprehensive income (loss), net of tax",-32000000.0,1,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Total comprehensive income,4336000000.0,1,False,False
