concept,label,2021-12-31,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,76033000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,Change in foreign currency translation adjustment,-1442000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,Available-for-sale investments:,,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Change in net unrealized gains (losses),-1312000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,Net Income,-64000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"Net change, net of income tax benefit (expense) of $(221), $(230), and $394",-1376000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecreaseAbstract,Cash flow hedges:,,2,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,Change in net unrealized gains (losses),716000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,Net Income,-154000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,"Net change, net of income tax benefit (expense) of $42, $11, and $(122)",562000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,Other comprehensive income (loss),-2256000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,73777000000.0,1,False,False
