concept,label,2024-12-31,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,59248000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,1,False,False
us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,"Foreign currency translation adjustments, net of tax of $100, $(55), and $226",-3333000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesTaxPortionAttributableToParentAbstract,Available-for-sale debt securities:,,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"Change in net unrealized gains (losses), net of tax of $159, $(110), and $(2,086)",6339000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"Less: reclassification adjustment for losses (gains) included in “Other income (expense), net,” net of tax of $0, $(15), and $(2)",5000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,Net change,6344000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeOtherNetOfTax,"Other, net of tax of $0, $(1), and $1",-5000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,Other comprehensive income (loss),3006000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income (loss),62254000000.0,1,False,False
