concept,label,2022-06-30,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,72738000000.0,1,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,"Other comprehensive income (loss), net of tax:",,1,False,False
us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,Net change related to derivatives,6000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,Net change related to investments,-5360000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,Translation adjustments and other,-1146000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Other comprehensive income (loss),-6500000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,66238000000.0,1,False,False
